date,draw,sampledrawsize,type,refnum,n1,n2,n3,n4,pastwinner
07/25/2026,EVE,21,count,0,4,1,7,
07/25/2026,EVE,21,count,1,4,1,0,exists
07/25/2026,EVE,21,count,2,4,1,4,
07/25/2026,EVE,21,count,3,4,2,7,
07/25/2026,EVE,21,count,4,4,2,0,
07/25/2026,EVE,21,count,5,4,2,4,
07/25/2026,EVE,21,count,6,4,3,7,
07/25/2026,EVE,21,count,7,4,3,0,exists
07/25/2026,EVE,21,count,8,4,3,4,
07/25/2026,EVE,21,count,9,3,1,7,
07/25/2026,EVE,21,count,10,3,1,0,exists
07/25/2026,EVE,21,count,11,3,1,4,
07/25/2026,EVE,21,count,12,3,2,7,exists
07/25/2026,EVE,21,count,13,3,2,0,exists
07/25/2026,EVE,21,count,14,3,2,4,
07/25/2026,EVE,21,count,15,3,3,7,exists
07/25/2026,EVE,21,count,16,3,3,0,
07/25/2026,EVE,21,count,17,3,3,4,
07/25/2026,EVE,21,count,18,6,1,7,exists
07/25/2026,EVE,21,count,19,6,1,0,
07/25/2026,EVE,21,count,20,6,1,4,
07/25/2026,EVE,21,count,21,6,2,7,
07/25/2026,EVE,21,count,22,6,2,0,
07/25/2026,EVE,21,count,23,6,2,4,exists
07/25/2026,EVE,21,count,24,6,3,7,
07/25/2026,EVE,21,count,25,6,3,0,exists
07/25/2026,EVE,21,count,26,6,3,4,
07/25/2026,EVE,21,pattern,0,9,8,0,
07/25/2026,EVE,21,pattern,1,9,8,0,
07/25/2026,EVE,21,pattern,2,9,8,0,
07/25/2026,EVE,21,pattern,3,9,2,0,
07/25/2026,EVE,21,pattern,4,9,2,0,
07/25/2026,EVE,21,pattern,5,9,2,0,
07/25/2026,EVE,21,pattern,6,9,9,0,exists
07/25/2026,EVE,21,pattern,7,9,9,0,exists
07/25/2026,EVE,21,pattern,8,9,9,0,exists
07/25/2026,EVE,21,pattern,9,0,8,0,
07/25/2026,EVE,21,pattern,10,0,8,0,
07/25/2026,EVE,21,pattern,11,0,8,0,
07/25/2026,EVE,21,pattern,12,0,2,0,
07/25/2026,EVE,21,pattern,13,0,2,0,
07/25/2026,EVE,21,pattern,14,0,2,0,
07/25/2026,EVE,21,pattern,15,0,9,0,
07/25/2026,EVE,21,pattern,16,0,9,0,
07/25/2026,EVE,21,pattern,17,0,9,0,
07/25/2026,EVE,21,pattern,18,0,8,0,
07/25/2026,EVE,21,pattern,19,0,8,0,
07/25/2026,EVE,21,pattern,20,0,8,0,
07/25/2026,EVE,21,pattern,21,0,2,0,
07/25/2026,EVE,21,pattern,22,0,2,0,
07/25/2026,EVE,21,pattern,23,0,2,0,
07/25/2026,EVE,21,pattern,24,0,9,0,
07/25/2026,EVE,21,pattern,25,0,9,0,
07/25/2026,EVE,21,pattern,26,0,9,0,
