06/07/26,EVE,9,7,9,4,6
06/07/26,MID,6,0,5,1,5
06/06/26,EVE,5,5,7,2,8
06/06/26,MID,2,6,5,6,7
06/05/26,EVE,8,1,0,1,7
06/05/26,MID,6,5,9,6,2
06/04/26,EVE,3,0,5,6,5
06/04/26,MID,4,6,6,8,7
06/03/26,EVE,1,5,5,5,7
06/03/26,MID,0,1,1,7,7
06/02/26,EVE,9,2,5,8,4
06/02/26,MID,8,1,1,7,6
06/01/26,EVE,2,7,5,7,2
06/01/26,MID,4,8,7,0,6
05/31/26,EVE,7,9,2,2,9
05/31/26,MID,5,6,1,8,2
05/30/26,EVE,9,5,0,2,2
05/30/26,MID,7,9,1,1,7
05/29/26,EVE,0,0,1,4,2
05/29/26,MID,5,7,6,0,1
05/28/26,EVE,4,6,7,0,1
05/28/26,MID,4,9,3,2,2
05/27/26,EVE,0,6,3,1,6
05/27/26,MID,2,0,2,2,5
05/26/26,EVE,3,6,0,0,4
05/26/26,MID,6,9,5,4,6
05/25/26,EVE,5,6,5,2,3
05/25/26,MID,0,5,3,6,0
05/24/26,EVE,4,5,3,6,8
05/24/26,MID,5,2,4,8,4
05/23/26,EVE,2,5,0,8,0
05/23/26,MID,9,7,5,6,4
05/22/26,EVE,1,8,7,9,7
05/22/26,MID,3,6,4,9,1
